question,answer
"Global admins, maintainers, observer_plus and observers can list hosts.","allow { 
object.type == ""host"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == list 
} 
"
"Team admins, maintainers, observer_plus and observers can read queries.","allow { 
object.type == ""query"""
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Team admins and maintainers can read and write macos setup assistants on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_setup_assistant"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Team admins and maintainers can read and write bootstrap packages on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_bootstrap_package"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Allow read for matching team admin/maintainer/observer/observer_plus.,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
if the user has no explicit role for that team.,"team_role(subject, team_id) = role { 
subject_team := subject.teams[_] 
subject_team.id == team_id 
role := subject_team.role 
} 
"
"Only global admins, maintainers and gitops can write labels","allow { 
object.type == ""label"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == write 
} 
"
adding/removing scheduled queries from the pack.,"allow { 
object.type == ""pack"" 
not is_null(object.pack_team_id) 
team_role(subject, object.pack_team_id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
Any logged in user can read Fleet's version,"allow { 
object.type == ""version"" 
not is_null(subject) 
action == read 
}"
filtered to only teams that they observe.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
 
not is_null(object.host_targets.teams) 
ok_teams := { tmid | tmid := object.host_targets.teams[_]; team_role(subject, tmid) == [admin, maintainer, observer_plus, observer][_] } 
count(ok_teams) == count(object.host_targets.teams) 
} 
"
Team admins and maintainers can read/write for appropriate teams.,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers, observers and observer_plus can read all software.","allow { 
object.type == ""software_inventory"" 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global gitops can write MDM Apple settings.,"allow { 
object.type == ""mdm_apple_settings"" 
subject.global_role == gitops 
action == write 
} 
"
"NOTE: Action ""read"" on a team's pack includes listing its scheduled queries.","allow { 
object.type == ""pack"" 
not is_null(object.pack_team_id) 
team_role(subject, object.pack_team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
"If role is admin, maintainer, observer_plus or observer on any team.","team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Team admins and maintainers can read and write Apple MDM config profiles on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_config_profile"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Team admins, maintainers, observers and observer_plus can read MDM Apple commands on hosts of their teams.","allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_command"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Global admins, maintainers, observers and observer_plus can read MDM Apple commands.","allow { 
object.type == ""mdm_apple_command"" 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global admins and maintainers can read and write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers, observer_plus and observers can read teams.","allow { 
object.type == ""team"" 
object.id != 0 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Global admins, maintainers and gitops can write queries.","allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == write 
} 
"
Team admins and gitops can write their teams.,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == [admin, gitops][_] 
action == write 
} 
"
Team admins and maintainers can read and write MDM Apple Settings of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_settings"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Team admins can perform all operations on the team users (except changing their password).,"allow { 
object.type == ""user"" 
team_role(subject, object.teams[_].id) == admin 
action == [read, write, write_role][_] 
} 
"
Global admins and maintainers can read and write macos setup assistants.,"allow { 
object.type == ""mdm_apple_setup_assistant"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"If role is admin, maintainer or observer_plus on any team.","team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus][_] 
action == run_new 
} 
"
Team gitops can write Apple MDM config profiles on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_config_profile"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
Global admins and maintainers can read and write policies.,"allow { 
object.type == ""policy"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins can read and write Apple MDM enrollments.,"allow { 
object.type == ""mdm_apple_enrollment_profile"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write Apple DEP devices.,"allow { 
object.type == ""mdm_apple_dep_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global observers can run only if observers_can_run.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
} 
"
"Team admin, maintainer and observer_plus running a non-observers_can_run query when no target teams are specified.","allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
"
Global admins and maintainers can read and write Apple MDM config profiles.,"allow { 
object.type == ""mdm_apple_config_profile"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admin, maintainer, observer_plus and observer can read targets.","allow { 
object.type == ""target"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
"Global admins, maintainers, observer_plus and observers can read labels.","allow { 
object.type == ""label"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
"Team admins, maintainers, observer_plus and observers can read labels.","allow { 
object.type == ""label"""
Global gitops can write macos setup assistants.,"allow { 
object.type == ""mdm_apple_setup_assistant"" 
subject.global_role == gitops 
action == write 
} 
"
Team admin and maintainers can read and write policies for their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global observer and observer_plus can read any policies.,"allow { 
object.type == ""policy"" 
subject.global_role == [observer, observer_plus][_] 
action == read 
} 
"
and there are no team targets,"is_null(object.host_targets.teams) 
} 
"
"Team admins, maintainers, observer_plus and observers can list hosts.","allow { 
object.type == ""host"""
"Team admin, maintainer, observer_plus and observer running a observers_can_run query and there are no target teams.","allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
"
Team admins and maintainers can write to hosts of their own team,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == write 
} 
"
"Team admins, maintainers, observer_plus and observers can read their team.","allow { 
object.type == ""team"" 
object.id != 0 
team_role(subject, object.id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global admins and maintainers can write (execute) MDM Apple commands.,"allow { 
object.type == ""mdm_apple_command"" 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
Team gitops can write bootstrap packages on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_bootstrap_package"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
"Team admin, maintainers, observers and observers_plus can read global policies","allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Only global admins can read/write carves,"allow { 
object.type == ""carve"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Allow read for global observer and observer_plus.,"allow { 
object.type == ""host"" 
subject.global_role == [observer, observer_plus][_] 
action == read 
} 
"
Team gitops can write MDM Apple Settings of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_settings"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
"Global admins, maintainers, observer_plus and observers can read queries.","allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Team observer and observer_plus can read policies for their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == [observer, observer_plus][_] 
action == read 
} 
"
"Team admins, maintainers and gitops can create new queries","allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
"Team admins, maintainers and gitops can edit and delete only their own queries","allow { 
object.author_id == subject.id 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
Global gitops can write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == gitops 
action == write 
} 
"
Team gitops can write policies for their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
"Team admins, maintainers, observer_plus and observers can read the global pack.","allow { 
object.type == ""pack"" 
object.is_global_pack == true"
Default deny,"default allow = false 
"
"Team admin, maintainer, observer_plus and observer can read global config.","allow { 
object.type == ""target"""
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
