question,answer
"Team admins, maintainers, observer_plus and observers can read their team.","allow { 
object.type == ""team"" 
object.id != 0 
team_role(subject, object.id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
adding/removing scheduled queries from the pack.,"allow { 
object.type == ""pack"" 
not is_null(object.pack_team_id) 
team_role(subject, object.pack_team_id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
Global gitops can write MDM Apple settings.,"allow { 
object.type == ""mdm_apple_settings"" 
subject.global_role == gitops 
action == write 
} 
"
"Team admins, maintainers, observer_plus and observers can list hosts.","allow { 
object.type == ""host"""
and there are no team targets,"is_null(object.host_targets.teams) 
} 
"
"Team admins, maintainers, observers and observer_plus can read all software in their teams.","allow { 
not is_null(object.team_id) 
object.type == ""software_inventory"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Team observer and observer_plus can read policies for their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == [observer, observer_plus][_] 
action == read 
} 
"
Global gitops can write hosts.,"allow { 
object.type == ""host"" 
subject.global_role == gitops 
action == write 
} 
"
Global admins and gitops can write teams.,"allow { 
object.type == ""team"" 
subject.global_role == [admin, gitops][_] 
action == write 
} 
"
Team admins and gitops can write their teams.,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == [admin, gitops][_] 
action == write 
} 
"
"Team admins, maintainers and gitops can create new queries","allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
"Team admins, maintainers, observer_plus and observers can read queries.","allow { 
object.type == ""query"""
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
"Team admin, maintainers, observers and observers_plus can read global policies","allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Only global admins can read/write carves,"allow { 
object.type == ""carve"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Team gitops can write Apple MDM config profiles on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_config_profile"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
filtered to only teams that they observe.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
 
not is_null(object.host_targets.teams) 
ok_teams := { tmid | tmid := object.host_targets.teams[_]; team_role(subject, tmid) == [admin, maintainer, observer_plus, observer][_] } 
count(ok_teams) == count(object.host_targets.teams) 
} 
"
Global admins can read and write MDM apple information.,"allow { 
object.type == ""mdm_apple"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Team admins can perform all operations on the team users (except changing their password).,"allow { 
object.type == ""user"" 
team_role(subject, object.teams[_].id) == admin 
action == [read, write, write_role][_] 
} 
"
"Global admins, maintainers and gitops can read/write all types of packs.","allow { 
object.type == ""pack"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == [read, write][_] 
} 
"
"Team admin, maintainer, observer_plus and observer can read global config.","allow { 
object.type == ""target"""
Team gitops can write macos setup assistants on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_setup_assistant"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
"Global admins, maintainers and observer_plus can run any query (saved and new).","allow { 
object.type == ""targeted_query"" 
subject.global_role == [admin, maintainer, observer_plus][_] 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, observer_plus][_] 
action = run_new 
} 
"
Team admins and maintainers can read and write Apple MDM config profiles on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_config_profile"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global gitops can write global enroll secrets.,"allow { 
object.type == ""enroll_secret"" 
object.is_global_secret 
subject.global_role == gitops 
action == write 
} 
"
"Team admins, maintainers and gitops can edit and delete only their own queries","allow { 
object.author_id == subject.id 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
"Global admins, maintainers, observers and observer_plus can read all software.","allow { 
object.type == ""software_inventory"" 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Team admins and maintainers can read and write MDM Apple Settings of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_settings"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers, observers and observer_plus can read MDM Apple commands.","allow { 
object.type == ""mdm_apple_command"" 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Global admins, maintainers, observers and observer_plus can read the global pack.","allow { 
object.type == ""pack"" 
object.is_global_pack == true 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Allow read for global observer and observer_plus.,"allow { 
object.type == ""host"" 
subject.global_role == [observer, observer_plus][_] 
action == read 
} 
"
access) if the overall object is specified,"allow { 
object.type == ""team"" 
object.id == 0 
not is_null(subject) 
action == read 
} 
"
Team gitops can write MDM Apple Settings of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_settings"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
"Team admin, maintainer and observer_plus can run a new query.","allow { 
object.type == ""query"""
Global admins and maintainers can read and write Apple MDM config profiles.,"allow { 
object.type == ""mdm_apple_config_profile"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Team admins and maintainers can write (execute) MDM Apple commands on hosts of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_command"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == write 
} 
"
Any user can read and write self and change their own password.,"allow { 
object.type == ""user"" 
object.id == subject.id 
object.id != 0 
action == [read, write, change_password][_] 
} 
"
Any logged in user can read Fleet's version,"allow { 
object.type == ""version"" 
not is_null(subject) 
action == read 
}"
"Global admins, maintainers, observer_plus and observers can read labels.","allow { 
object.type == ""label"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
"NOTE: Action ""read"" on a team's pack includes listing its scheduled queries.","allow { 
object.type == ""pack"" 
not is_null(object.pack_team_id) 
team_role(subject, object.pack_team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global admins and maintainers can read and write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers, observer_plus and observers can read teams.","allow { 
object.type == ""team"" 
object.id != 0 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Team admins, maintainers, observer_plus and observers can read labels.","allow { 
object.type == ""label"""
"If role is admin, maintainer or observer_plus on any team.","team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus][_] 
action == run_new 
} 
"
Global admins can read and write Apple devices.,"allow { 
object.type == ""mdm_apple_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins can read and write Apple MDM installers.,"allow { 
object.type == ""mdm_apple_installer"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins and maintainers can write (execute) MDM Apple commands.,"allow { 
object.type == ""mdm_apple_command"" 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
"Team admin, maintainer, observer_plus and observer running a observers_can_run query and there are no target teams.","allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
"
Team admins and maintainers can read and write macos setup assistants on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_setup_assistant"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins can perform all operations on all users.,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [read, write, write_role, change_password][_] 
} 
"
Global admins and maintainers can read and write macos setup assistants.,"allow { 
object.type == ""mdm_apple_setup_assistant"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Team admins and maintainers can read and write bootstrap packages on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_bootstrap_package"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Allow read for matching team admin/maintainer/observer/observer_plus.,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
filtered to only teams that they maintain.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
 
not is_null(object.host_targets.teams) 
ok_teams := { tmid | tmid := object.host_targets.teams[_]; team_role(subject, tmid) == [admin, maintainer, observer_plus][_] } 
count(ok_teams) == count(object.host_targets.teams) 
} 
"
"Team admins, maintainers, observers and observer_plus can read MDM Apple commands on hosts of their teams.","allow { 
not is_null(object.team_id) 
object.type == ""mdm_apple_command"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Global admins, maintainers, observer_plus and observers can read activities.","allow { 
object.type == ""activity"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Global gitops can write policies.,"allow { 
object.type == ""policy"" 
subject.global_role == gitops 
action == write 
} 
"
User specific actions,"write_role := ""write_role"" 
change_password := ""change_password"" 
"
Allow read/write for global admin/maintainer.,"allow { 
object.type == ""host"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers, observer_plus and observers can list hosts.","allow { 
object.type == ""host"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == list 
} 
"
Global admins can read and write Apple DEP devices.,"allow { 
object.type == ""mdm_apple_dep_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
"Global admin, maintainer, observer_plus and observer can read targets.","allow { 
object.type == ""target"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Global admins and maintainers can read and write MDM Apple settings.,"allow { 
object.type == ""mdm_apple_settings"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
