question,answer
"Global admins, maintainers, and gitops can read and write policies.","allow { 
object.type == ""policy"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == [read, write][_] 
} 
"
"Team admin, maintainer and observer_plus can run a new query.","allow { 
object.type == ""query"""
Global admins can read and write MDM apple information.,"allow { 
object.type == ""mdm_apple"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
"Team admin, maintainer and observer_plus running a global non-observers_can_run query when no target teams are specified.","allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
 
is_null(object.team_id) 
"
Global admins and maintainers can read/write enroll secrets.,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers and observer_plus can run any new query.","allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, observer_plus][_] 
action = run_new 
} 
"
Team admins and maintainers can write (execute) MDM commands on hosts of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_command"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == write 
} 
"
Global admins can read and write Apple MDM enrollments.,"allow { 
object.type == ""mdm_apple_enrollment_profile"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Team admins can perform all operations on the team users (except changing their password).,"allow { 
object.type == ""user"" 
team_role(subject, object.teams[_].id) == admin 
action == [read, write, write_role][_] 
} 
"
"Global admins, maintainers and gitops can read/write 2017 packs.","allow { 
object.type == ""pack"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == [read, write][_] 
} 
"
"Allow read for matching team admin/maintainer/observer/observer_plus, selective read for gitops.","allow { 
object.type == ""host"" 
base_roles := {admin, maintainer, observer, observer_plus} 
extra_roles := {gitops} 
allowed_read_roles(action, base_roles, extra_roles)[_] == team_role(subject, object.team_id) 
} 
"
Global observers can run only if observers_can_run.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
} 
"
"Team admins, maintainers and gitops can read and write MDM config profiles on their teams.","allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_config_profile"" 
team_role(subject, object.team_id) == [admin, maintainer, gitops][_] 
action == [read, write][_] 
} 
"
gitops as this is not something that relates to fleetctl apply).,"allow { 
object.type == ""host_script_result"" 
is_null(object.script_id) 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
cases for roles that usually aren't allowed to perform them.,"selective_read := ""selective_read"" 
selective_list := ""selective_list"" 
"
"Allow read for global admin/maintainer, selective_read for gitops.","allow { 
object.type == ""host"" 
base_roles := {admin, maintainer} 
extra_roles := {gitops} 
allowed_read_roles(action, base_roles, extra_roles)[_] == subject.global_role 
} 
"
"Allow read for host health for team admin/maintainer, team admins, observer.","allow { 
object.type == ""host_health"" 
team_role(subject, object.team_id) == [admin, maintainer, observer][_] 
action == read 
} 
"
Team admins and maintainers can read/write for appropriate teams.,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Any logged in user can read Fleet's version,"allow { 
object.type == ""version"" 
not is_null(subject) 
action == read 
} 
"
Global admins can read and write Apple MDM installers.,"allow { 
object.type == ""mdm_apple_installer"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Default deny,"default allow = false 
"
Global admins can perform all operations on all users.,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [read, write, write_role, change_password][_] 
} 
"
"Global admins, maintainers and observer_plus can run any query saved query.","allow { 
object.type == ""targeted_query"" 
subject.global_role == [admin, maintainer, observer_plus][_] 
action = run 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Global admins and maintainers can read and write macos setup assistants.,"allow { 
object.type == ""mdm_apple_setup_assistant"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global gitops can write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == gitops 
action == write 
} 
"
"If role is admin, maintainer, observer_plus or observer on any team.","team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
