question,answer
Global admins can read and write Apple commands.,"allow { 
object.type == ""mdm_apple_command"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Any user can read and write self and change their own password.,"allow { 
object.type == ""user"" 
object.id == subject.id 
object.id != 0 
action == [read, write, change_password][_] 
} 
"
Global admins can read and write Apple DEP devices.,"allow { 
object.type == ""mdm_apple_dep_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
MDM specific actions,"mdm_command := ""mdm_command"" 
"
Default deny,"default allow = false 
"
Allow read/write for global admin/maintainer,"allow { 
object.type == ""host"" 
subject.global_role = admin 
action == [read, write][_] 
} 
allow { 
object.type == ""host"" 
subject.global_role = maintainer 
action == [read, write][_] 
} 
"
are specified.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
"
User specific actions,"write_role := ""write_role"" 
change_password := ""change_password"" 
"
"Team admin, maintainers and observers can read global policies","allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer,observer][_] 
action == read 
} 
"
Global admins and maintainers can read and write Apple MDM config profiles.,"allow { 
object.type == ""mdm_apple_config_profile"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"If role is admin, maintainer or observer on any team","team_role(subject, subject.teams[_].id) == [admin,maintainer,observer][_] 
"
Allow read for global observer,"allow { 
object.type == ""host"" 
subject.global_role = observer 
action == read 
} 
"
All users can read queries,"allow { 
not is_null(subject) 
object.type == ""query"" 
action == read 
} 
"
All users can read labels,"allow { 
object.type == ""label"" 
not is_null(subject) 
action == read 
} 
"
Global admins can read and write Apple MDM enrollments.,"allow { 
object.type == ""mdm_apple_enrollment_profile"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global Admin and Maintainer can read and write policies,"allow { 
object.type == ""policy"" 
subject.global_role == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
Team admins and maintainers can create new queries,"allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer][_] 
action == write 
} 
"
Team admin and maintainer can run a new query,"allow { 
object.type == ""query"""
filtered to only teams that they maintain.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
 
not is_null(object.host_targets.teams) 
ok_teams := { tmid | tmid := object.host_targets.teams[_]; team_role(subject, tmid) == [admin,maintainer][_] } 
count(ok_teams) == count(object.host_targets.teams) 
} 
"
Query specific actions,"run := ""run"" 
run_new := ""run_new"" 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
