question,answer
Team admins and maintainers can read and write macos setup assistants on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_setup_assistant"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Team admins, maintainers, observer_plus and observers can read scripts for their teams.","allow { 
object.type == ""script"" 
not is_null(object.team_id) 
team_role(subject, object.team_id) == [admin, maintainer, observer_plus, observer][_] 
action == read 
}"
Team admins and maintainers can read and write MDM config profiles on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_config_profile"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Global admins, maintainers, and gitops can write (upload) saved scripts.","allow { 
object.type == ""script"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == write 
} 
"
Allow read/write for global admin/maintainer.,"allow { 
object.type == ""host"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Team admins and maintainers can read and write bootstrap packages on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_bootstrap_package"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Team admins can perform all operations on the team users (except changing their password).,"allow { 
object.type == ""user"" 
team_role(subject, object.teams[_].id) == admin 
action == [read, write, write_role][_] 
} 
"
Global admins and gitops can write teams.,"allow { 
object.type == ""team"" 
subject.global_role == [admin, gitops][_] 
action == write 
} 
"
"Team admin, maintainers and gitops can write queries for their teams.","allow { 
object.type == ""query"" 
not is_null(object.team_id) 
team_role(subject, object.team_id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
Team admins and maintainers can write (execute) MDM commands on hosts of their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""mdm_command"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == write 
} 
"
gitops as this is not something that relates to fleetctl apply).,"allow { 
object.type == ""host_script_result"" 
is_null(object.script_id) 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
"Allow read for host health for global admin/maintainer, team admins, observer.","allow { 
object.type == ""host_health"" 
subject.global_role == [admin, maintainer, observer][_] 
action == read 
} 
 
"
Global admins and maintainers can read/write enroll secrets.,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Allow read for global observer and observer_plus.,"allow { 
object.type == ""host"" 
subject.global_role == [observer, observer_plus][_] 
action == read 
} 
"
Allow read for matching team admin/maintainer/observer/observer_plus.,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Any logged in user can read the manual enrollment profile data.,"allow { 
object.type == ""mdm_apple_manual_enrollment_profile"" 
not is_null(subject) 
action == read 
} 
"
Team admins and gitops can write their teams.,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == [admin, gitops][_] 
action == write 
} 
"
Global admins and maintainers can read and write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Default deny,"default allow = false 
"
