question,answer
Only global admins can read/write carves,"allow { 
object.type == ""carve"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Admin can write global config,"allow { 
object.type == ""app_config"" 
subject.global_role == admin 
action == write 
} 
"
Team admin and maintainers can read global policies," 
allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == read 
} 
"
Only global admins and maintainers can write labels,"allow { 
object.type == ""label"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""label"" 
subject.global_role == maintainer 
action == write 
} 
"
Global admins and maintainers can write queries,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action == write 
} 
"
if the user has no explicit role for that team.,"team_role(subject, team_id) = role { 
subject_team := subject.teams[_] 
subject_team.id == team_id 
role := subject_team.role 
} 
"
Any logged in user can read global config,"allow { 
object.type == ""app_config"" 
not is_null(subject) 
action == read 
} 
"
All users can read software,"allow { 
not is_null(subject) 
object.type == ""software"" 
action == read 
}"
Admins can read/write all,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Team admins and maintainers can create new queries,"allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer][_] 
action == write 
} 
"
Team admin can write teams,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == admin 
action == write 
} 
"
If role is admin or maintainer on any team,"team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == run_new 
} 
"
Admin can write teams,"allow { 
object.type == ""team"" 
subject.global_role == admin 
action == write 
} 
"
If role is maintainer on any team,"team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == run 
} 
"
Allow read for matching team admin/maintainer/observer,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer][_] 
action == read 
} 
"
Team admins and maintainers can read global packs,"allow { 
is_null(object.team_ids) 
object.type == ""pack"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == read 
} 
"
Global admins and maintainers and team maintainers can read/write packs,"allow { 
object.type == ""pack"" 
subject.global_role == admin 
action == [read, write][_] 
} 
allow { 
object.type == ""pack"" 
subject.global_role == maintainer 
action == [read, write][_] 
} 
"
Global maintainers can read all,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == maintainer 
action == read 
} 
"
All users can read labels,"allow { 
object.type == ""label"" 
not is_null(subject) 
action == read 
} 
"
access) if the overall object is specified,"allow { 
object.type == ""team"" 
object.id == 0 
not is_null(subject) 
action == read 
}"
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
Team admins and maintainers can read for appropriate teams,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == read 
} 
"
Admins can write all users + roles,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [write, write_role][_] 
} 
"
Global admins and (team) maintainers can run any,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == admin 
action = run_new 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action = run_new 
}"
All users can read activities,"allow { 
not is_null(subject) 
object.type == ""activity"" 
action == read 
} 
"
Team Observer can read policies,"allow { 
not is_null(object.team_id) 
object.team_id == subject.teams[_].id 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == observer 
action == [read][_] 
} 
"
Team admin and maintainer can run a new query,"allow { 
object.type == ""query"""
Team admins and maintainers can edit and delete only their own queries,"allow { 
object.author_id == subject.id 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == write 
} 
"
(Team) observers can run only if observers_can_run,"allow { 
object.type == ""query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
}"
Team admin and maintainers can read and write policies,"allow { 
not is_null(object.team_id) 
object.team_id == subject.teams[_].id 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
Any user can read other users,"allow { 
object.type == ""user"" 
not is_null(subject) 
action == read 
} 
"
Global Observer users can read policies,"allow { 
object.type == ""policy"" 
subject.global_role == observer 
action == [read][_] 
} 
"
Global Admin and Maintainer users can read and write policies,"allow { 
object.type == [""policy"",""team_policy""][_] 
subject.global_role == admin 
action == [read, write][_] 
} 
 
allow { 
is_null(object.team_id) 
object.type == ""policy"" 
subject.global_role == maintainer 
action == [read, write][_] 
} 
 
allow { 
object.type == ""policy"" 
subject.global_role == maintainer 
action == [read][_] 
} 
"
