question,answer
Global admins and maintainers can read/write all,"allow { 
object.type == ""enroll_secret"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins can read and write Apple MDM command results.,"allow { 
object.type == ""mdm_apple_command_result"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
All users can read labels,"allow { 
object.type == ""label"" 
not is_null(subject) 
action == read 
} 
"
Team admins and maintainers can create new queries,"allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer][_] 
action == write 
} 
"
or global admins or global maintainers,"allow { 
object.type == ""team"" 
object.id != 0 
subject.global_role == [admin, maintainer][_] 
action == read 
} 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Only global admins and maintainers can write labels,"allow { 
object.type == ""label"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""label"" 
subject.global_role == maintainer 
action == write 
} 
"
Global admins and maintainers can read/write all packs.,"allow { 
object.type == ""pack"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global admins can read and write MDM apple information.,"allow { 
object.type == ""mdm_apple"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
"For specific teams, only members can read","allow { 
object.type == ""team"" 
object.id != 0 
team_role(subject, object.id) == [admin,maintainer][_] 
action == read 
}"
Team admins and maintainers can read/write for appropriate teams,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Allow read for matching team admin/maintainer/observer,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin, maintainer, observer][_] 
action == read 
} 
"
access) if the overall object is specified,"allow { 
object.type == ""team"" 
object.id == 0 
not is_null(subject) 
action == read 
}"
and there are no team targets,"is_null(object.host_targets.teams) 
} 
"
Global admins can perform all operations on all users.,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [read, write, write_role, change_password][_] 
} 
"
Global admins can read and write Apple MDM installers.,"allow { 
object.type == ""mdm_apple_installer"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Team admin and maintainer can run a new query,"allow { 
object.type == ""query"""
Team admins can perform all operations on the team users (except changing their password).,"allow { 
object.type == ""user"" 
team_role(subject, object.teams[_].id) == admin 
action == [read, write, write_role][_] 
} 
"
Global admins and maintainers can write queries,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action == write 
} 
"
Team admin can write teams,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == admin 
action == write 
} 
"
