question,answer
Team admin and maintainers can read and write policies for their teams,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
All users can read activities,"allow { 
not is_null(subject) 
object.type == ""activity"" 
action == read 
} 
"
All users can read labels,"allow { 
object.type == ""label"" 
not is_null(subject) 
action == read 
} 
"
Team admins and maintainers can create new queries,"allow { 
object.id == 0 # new queries have ID zero 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer][_] 
action == write 
} 
"
Team admin and maintainer can run a new query,"allow { 
object.type == ""query"""
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
or global admins or global maintainers,"allow { 
object.type == ""team"" 
object.id != 0 
subject.global_role == [admin, maintainer][_] 
action == read 
} 
"
Any user can read/write own session,"allow { 
object.type == ""session"" 
object.user_id == subject.id 
action == [read, write][_] 
} 
"
Allow read for global observer,"allow { 
object.type == ""host"" 
subject.global_role = observer 
action == read 
} 
"
Admins can write all users + roles,"allow { 
object.type == ""user"" 
subject.global_role == admin 
action == [write, write_role][_] 
} 
"
Default deny,"default allow = false 
"
Global Admin and Maintainer can read and write policies,"allow { 
object.type == ""policy"" 
subject.global_role == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
are specified.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
"
Team admins and maintainers can edit and delete only their own queries,"allow { 
object.author_id == subject.id 
object.type == ""query"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == write 
} 
"
target teams.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins and maintainers can read/write all packs,"allow { 
object.type == ""pack"" 
subject.global_role == [admin,maintainer][_] 
action == [read, write][_] 
} 
"
Any logged in user can read global config,"allow { 
object.type == ""app_config"" 
not is_null(subject) 
action == read 
} 
"
access) if the overall object is specified,"allow { 
object.type == ""team"" 
object.id == 0 
not is_null(subject) 
action == read 
}"
Global admins and maintainers can write queries,"allow { 
object.type == ""query"" 
subject.global_role == admin 
action == write 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action == write 
} 
"
"If role is admin, maintainer or observer on any team","team_role(subject, subject.teams[_].id) == [admin,maintainer,observer][_] 
"
All users can read software,"allow { 
not is_null(subject) 
object.type == ""software"" 
action == read 
}"
filtered to only teams that they maintain.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
 
not is_null(object.host_targets.teams) 
ok_teams := { tmid | tmid := object.host_targets.teams[_]; team_role(subject, tmid) == [admin,maintainer][_] } 
count(ok_teams) == count(object.host_targets.teams) 
} 
"
If role is admin or maintainer on any team,"team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == run_new 
} 
"
Team admins and maintainers can write to hosts of their own team,"allow { 
object.type == ""host"" 
team_role(subject, object.team_id) == [admin,maintainer][_] 
action == write 
} 
"
Team admin can write teams,"allow { 
object.type == ""team"" 
team_role(subject, object.id) == admin 
action == write 
} 
"
Global admins and maintainers can run any,"allow { 
object.type == ""targeted_query"" 
subject.global_role == admin 
action = run 
} 
allow { 
object.type == ""targeted_query"" 
subject.global_role == maintainer 
action = run 
} 
allow { 
object.type == ""query"" 
subject.global_role == admin 
action = run_new 
} 
allow { 
object.type == ""query"" 
subject.global_role == maintainer 
action = run_new 
} 
"
All users can read queries,"allow { 
not is_null(subject) 
object.type == ""query"" 
action == read 
} 
"
Observers can run only if observers_can_run,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
} 
"
"Team admin, maintainers and observers can read global policies","allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer,observer][_] 
action == read 
} 
"
Team admins and maintainers can read/write for appropriate teams,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Admin can write global config,"allow { 
object.type == ""app_config"" 
subject.global_role == admin 
action == write 
} 
"
Team admins and maintainers can read global packs,"allow { 
is_null(object.team_ids) 
object.type == ""pack"" 
team_role(subject, subject.teams[_].id) == [admin,maintainer][_] 
action == read 
} 
"
Any user can write self (besides role),"allow { 
object.type == ""user"" 
object.id == subject.id 
object.id != 0 
action == write 
} 
"
Admin can write teams,"allow { 
object.type == ""team"" 
subject.global_role == admin 
action == write 
} 
"
#Team admins can create or edit new users,"allow { 
object.type == ""user"" 
team_role(subject, object.teams[_].id) == admin 
action == [write, write_role][_] 
} 
"
